Department,Hourly Rate 
Seattle Police Department,$179.54
Seattle Police Department,$153.7
Employees Retirement System,$153.7
Seattle Police Department,$153.7
Seattle Police Department,$153.7
Seattle Police Department,$151.
Seattle Police Department,$150.43
Seattle Police Department,$150.43
Seattle Police Department,$150.43
Seattle Police Department,$150.43
Seattle Police Department,$150.43
Seattle Police Department,$150.43
Human Resources,$148.91
Employees Retirement System,$138.18
Human Resources,$135.52
Seattle Police Department,$131.41
Seattle Police Department,$131.41
Mayor's Office,$130.93
Seattle Police Department,$130.31
Seattle Police Department,$130.31
Information Technology,$130.3
Seattle Police Department,$130.3
Information Technology,$130.3
Seattle Police Department,$127.69
Seattle Police Department,$127.69
Seattle Police Department,$127.69
Seattle Police Department,$127.69
Seattle Police Department,$126.35
Human Resources,$125.99
Human Resources,$124.98
Seattle Police Department,$123.97
Seattle Police Department,$123.97
Seattle Police Department,$123.97
Seattle Police Department,$123.97
Seattle Police Department,$123.97
Seattle Police Department,$123.97
Seattle Police Department,$123.97
Seattle Police Department,$123.97
Seattle Police Department,$123.97
Seattle Police Department,$123.97
Information Technology,$122.52
Seattle Police Department,$121.59
Seattle Police Department,$121.34
Seattle Police Department,$121.34
Mayor's Office,$121.32
Mayor's Office,$121.32
Mayor's Office,$121.32
Mayor's Office,$119.14
Community Police Commission,$117.46
Seattle Police Department,$117.46
City Budget Office,$116.07
Information Technology,$114.99
Seattle Police Department,$114.47
Seattle Police Department,$114.47
Mayor's Office,$113.96
Hearing Examiner,$112.16
Law Department,$111.39
Seattle Police Department,$110.35
Information Technology,$110.35
Information Technology,$110.35
Seattle Police Department,$110.35
Seattle Police Department,$110.35
Seattle Police Department,$110.35
Civil Service Commissions,$110.35
Information Technology,$110.35
Employees Retirement System,$110.34
Law Department,$109.87
Law Department,$109.87
Law Department,$109.87
Employees Retirement System,$108.47
Seattle Police Department,$107.38
Seattle Police Department,$107.38
Seattle Police Department,$107.38
Seattle Police Department,$107.38
Seattle Police Department,$107.38
Seattle Police Department,$107.38
Seattle Police Department,$107.38
Seattle Police Department,$107.38
Seattle Police Department,$107.38
Seattle Police Department,$107.38
Seattle Police Department,$107.38
Seattle Police Department,$107.38
Seattle Police Department,$107.3
Law Department,$106.39
Law Department,$106.39
Law Department,$106.39
Law Department,$106.39
Law Department,$106.39
Law Department,$106.39
Law Department,$106.39
Information Technology,$106.39
Information Technology,$106.39
