"Fiscal_Year","DeptName","BCLName","ProjectTitle","ProjectCode","FundName","Amount"
"2018","Department of Finance and Administrative Services","ADA Improvements","2015 ADA","FA3CDSC150013","REET I Capital Fund","0"
"2018","Department of Finance and Administrative Services","ADA Improvements","ADA Improvements - FAS","FA3CDSC180032","REET I Capital Fund","0"
"2018","Department of Finance and Administrative Services","ADA Improvements","FAS Budget Load - ADA Impr","FA3CDFASBUDADA","REET I Capital Fund","200,000"
"2018","Department of Finance and Administrative Services","Asset Preserv_Sch 1 Facilities","Add lobby carpet","FA3CDSC160199","Facility Asset Preserv Fund","0"
"2018","Department of Finance and Administrative Services","Asset Preserv_Sch 1 Facilities","AP - Sch 1 Facilities Reserves","FA3CDSC150014","Facility Asset Preserv Fund","0"
"2018","Department of Finance and Administrative Services","Asset Preserv_Sch 1 Facilities","AP - Sch 1 Facilities Reserves","FA3CDSC150014","REET I Capital Fund","0"
"2018","Department of Finance and Administrative Services","Asset Preserv_Sch 1 Facilities","Bud Load FAS SMT Chiller Repl","FA3CDFASBUDCHLR","Facility Asset Preserv Fund","0"
"2018","Department of Finance and Administrative Services","Asset Preserv_Sch 1 Facilities","FAS Budget Load - Sch1 Fac Rsv","FA3CDFASBUDS1FR","Facility Asset Preserv Fund","2,152,000"
"2018","Department of Finance and Administrative Services","Asset Preserv_Sch 1 Facilities","FAS Budget Load - Sch1 Fac Rsv","FA3CDFASBUDS1FR","REET I Capital Fund","2,000,000"
"2018","Department of Finance and Administrative Services","Asset Preserv_Sch 1 Facilities","SCH Lighting Replace","FA3CDSC180059","Facility Asset Preserv Fund","0"
"2018","Department of Finance and Administrative Services","Asset Preserv_Sch 1 Facilities","SCH Plaza Restore PE","FA3CDSC180057","Facility Asset Preserv Fund","0"
"2018","Department of Finance and Administrative Services","Asset Preserv_Sch 1 Facilities","SCH UPS Replacement","FA3CDSC180072","Facility Asset Preserv Fund","0"
"2018","Department of Finance and Administrative Services","Asset Preserv_Sch 1 Facilities","SeaPark Electrical Service Pre","FA3CDSC170107","REET I Capital Fund","0"
"2018","Department of Finance and Administrative Services","Asset Preserv_Sch 1 Facilities","SJC Weatherization","FA3CDSC180161","Facility Asset Preserv Fund","0"
"2018","Department of Finance and Administrative Services","Asset Preserv_Sch 1 Facilities","SMT 1 Electrical Repairs","FA3CDSC180162","Facility Asset Preserv Fund","0"
"2018","Department of Finance and Administrative Services","Asset Preserv_Sch 1 Facilities","SMT 14 Demo PE","FA3CDSC180071","Facility Asset Preserv Fund","0"
"2018","Department of Finance and Administrative Services","Asset Preserv_Sch 1 Facilities","SMT 21-25 CW Valves","FA3CDSC170167","Facility Asset Preserv Fund","0"
"2018","Department of Finance and Administrative Services","Asset Preserv_Sch 1 Facilities","SMT AHU Valves","FA3CDSC180028","REET I Capital Fund","0"
"2018","Department of Finance and Administrative Services","Asset Preserv_Sch 1 Facilities","SMT Chiller MCC Improve","FA3CDSC180054","REET I Capital Fund","0"
"2018","Department of Finance and Administrative Services","Asset Preserv_Sch 1 Facilities","SMT Chiller Plant Replacement","FA3CDSC180075","Facility Asset Preserv Fund","0"
"2018","Department of Finance and Administrative Services","Asset Preserv_Sch 1 Facilities","SMT Chiller Plant Replacement","FA3CDSC180075","Finance & Admin Services Fund","0"
"2018","Department of Finance and Administrative Services","Asset Preserv_Sch 1 Facilities","SMT Chiller Replacement DsgnNC","FA3CDSC150268","Facility Asset Preserv Fund","0"
"2018","Department of Finance and Administrative Services","Asset Preserv_Sch 1 Facilities","SMT Elevator PE","FA3CDSC180027","REET I Capital Fund","0"
"2018","Department of Finance and Administrative Services","Asset Preserv_Sch 1 Facilities","SMT Sewer Reroute","FA3CDSC150289","Facility Asset Preserv Fund","0"
"2018","Department of Finance and Administrative Services","Asset Preserv_Sch 1 Facilities","SMT Sewer Reroute","FA3CDSC150289","Finance & Admin Services Fund","0"
"2018","Department of Finance and Administrative Services","Asset Preserv_Sch 1 Facilities","SMT Weatherization 2015","FA3CDSC150030","Facility Asset Preserv Fund","0"
"2018","Department of Finance and Administrative Services","Asset Preserv_Sch 1 Facilities","SMT Weatherization 2016","FA3CDSC150313","Facility Asset Preserv Fund","0"
"2018","Department of Finance and Administrative Services","Asset Preserv_Sch 1 Facilities","SMT Weatherization 2016","FA3CDSC150313","Finance & Admin Services Fund","0"
"2018","Department of Finance and Administrative Services","Asset Preserv_Sch 1 Facilities","SMT Weatherization 2016","FA3CDSC150313","REET I Capital Fund","0"
"2018","Department of Finance and Administrative Services","Asset Preserv_Sch 1 Facilities","SMT Weatherization Ph 3","FA3CDSC180035","REET I Capital Fund","0"
"2018","Department of Finance and Administrative Services","Asset Preserv_Sch 2 Facilities","AWC-D Roof Replacement","FA3CDSC170023","Facility Asset Preserv Fund","0"
"2018","Department of Finance and Administrative Services","Asset Preserv_Sch 2 Facilities","AWC-E Building Envelope Improv","FA3CDSC160165","Facility Asset Preserv Fund","0"
"2018","Department of Finance and Administrative Services","Asset Preserv_Sch 2 Facilities","Chas St 714 Ex fans","FA3CDSC180084","Facility Asset Preserv Fund","0"
"2018","Department of Finance and Administrative Services","Asset Preserv_Sch 2 Facilities","Chas St 814 Reroof","FA3CDSC180121","Facility Asset Preserv Fund","0"
"2018","Department of Finance and Administrative Services","Asset Preserv_Sch 2 Facilities","FAS Budget Load - Sch2 Fac Rsv","FA3CDFASBUDS2FR","Facility Asset Preserv Fund","1,848,000"
"2018","Department of Finance and Administrative Services","Asset Preserv_Sch 2 Facilities","Fire Station 18","FA3CDSC150333","2003 Fire Facilities Levy Fund","0"
"2018","Department of Finance and Administrative Services","Asset Preserv_Sch 2 Facilities","Fire Station 18","FA3CDSC150333","Facility Asset Preserv Fund","0"
"2018","Department of Finance and Administrative Services","Asset Preserv_Sch 2 Facilities","FS 10 EOC Roof Repairs","FA3CDSC180045","Facility Asset Preserv Fund","0"
